period,year,taxa,place,station,fail,succ,lat,mic
1,2016,E. nilssonii,OUL3,Oulanka,479,4,66.37026833,1
1,2016,E. nilssonii,OYO1,Oulu,100,0,65.05938167,1
1,2016,E. nilssonii,SEI1,Seili,133,11,60.23959333,1
1,2016,E. nilssonii,SEI2,Seili,418,0,60.23959333,1
1,2016,E. nilssonii,SEI3,Seili,331,43,60.23959333,1
1,2016,E. nilssonii,TVA1,Tvarminne,44,1,59.84394167,1
1,2016,E. nilssonii,TVA2,Tvarminne,249,14,59.84394167,1
1,2016,E. nilssonii,TVA3,Tvarminne,243,20,59.84394167,1
1,2016,Myotis sp.,HUS1,Huso,556,74,60.27874333,1
1,2016,Myotis sp.,HUS2,Huso,488,142,60.27874333,1
1,2016,Myotis sp.,HUS3,Huso,571,59,60.27874333,1
1,2016,Myotis sp.,HYY2,Hyytiala,471,131,61.84478167,1
1,2016,Myotis sp.,HYY3,Hyytiala,476,126,61.84478167,1
1,2016,Myotis sp.,KON2,Konnevesi,489,96,62.61605,1
1,2016,Myotis sp.,KON3,Konnevesi,522,63,62.61605,1
1,2016,Myotis sp.,LAM1,Lammi,489,87,61.05408333,1
1,2016,Myotis sp.,LAM2,Lammi,499,118,61.05408333,1
1,2016,Myotis sp.,LAM3,Lammi,457,160,61.05408333,1
1,2016,Myotis sp.,OUL1,Oulanka,483,0,66.37026833,1
1,2016,Myotis sp.,OUL2,Oulanka,483,0,66.37026833,1
1,2016,Myotis sp.,OUL3,Oulanka,483,0,66.37026833,1
1,2016,Myotis sp.,OYO1,Oulu,100,0,65.05938167,1
1,2016,Myotis sp.,SEI1,Seili,140,4,60.23959333,1
1,2016,Myotis sp.,SEI2,Seili,309,109,60.23959333,1
1,2016,Myotis sp.,SEI3,Seili,353,21,60.23959333,1
1,2016,Myotis sp.,TVA1,Tvarminne,35,10,59.84394167,1
1,2016,Myotis sp.,TVA2,Tvarminne,170,93,59.84394167,1
1,2016,Myotis sp.,TVA3,Tvarminne,214,49,59.84394167,1
1,2016,P. nathusii,HUS1,Huso,628,2,60.27874333,1
1,2016,P. nathusii,HUS2,Huso,628,2,60.27874333,1
1,2016,P. nathusii,HUS3,Huso,628,2,60.27874333,1
1,2016,P. nathusii,HYY2,Hyytiala,602,0,61.84478167,1
1,2016,P. nathusii,HYY3,Hyytiala,602,0,61.84478167,1
1,2016,P. nathusii,KON2,Konnevesi,585,0,62.61605,1
1,2016,P. nathusii,KON3,Konnevesi,585,0,62.61605,1
1,2016,P. nathusii,LAM1,Lammi,576,0,61.05408333,1
1,2016,P. nathusii,LAM2,Lammi,617,0,61.05408333,1
1,2016,P. nathusii,LAM3,Lammi,617,0,61.05408333,1
1,2016,P. nathusii,OUL1,Oulanka,483,0,66.37026833,1
1,2016,P. nathusii,OUL2,Oulanka,483,0,66.37026833,1
1,2016,P. nathusii,OUL3,Oulanka,483,0,66.37026833,1
1,2016,P. nathusii,OYO1,Oulu,100,0,65.05938167,1
1,2016,P. nathusii,SEI1,Seili,144,0,60.23959333,1
1,2016,P. nathusii,SEI2,Seili,418,0,60.23959333,1
1,2016,P. nathusii,SEI3,Seili,373,1,60.23959333,1
1,2016,P. nathusii,TVA1,Tvarminne,45,0,59.84394167,1
1,2016,P. nathusii,TVA2,Tvarminne,262,1,59.84394167,1
1,2016,P. nathusii,TVA3,Tvarminne,262,1,59.84394167,1
1,2018,E. nilssonii,HUS1,Huso,152,199,60.27874333,2
1,2018,E. nilssonii,HUS3,Huso,237,114,60.27874333,2
1,2018,E. nilssonii,KON1,Konnevesi,42,2,62.61605,1
1,2018,E. nilssonii,KON2,Konnevesi,579,10,62.61605,1
1,2018,E. nilssonii,LAM1,Lammi,607,13,61.05408333,1
1,2018,E. nilssonii,LAM2,Lammi,601,19,61.05408333,1
1,2018,E. nilssonii,OYO3,Oulu,167,5,65.05938167,1
1,2018,E. nilssonii,SEI2,Seili,535,2,60.23959333,1
1,2018,Myotis sp.,HUS1,Huso,307,44,60.27874333,2
1,2018,Myotis sp.,HUS3,Huso,285,66,60.27874333,2
1,2018,Myotis sp.,KON1,Konnevesi,44,0,62.61605,1
1,2018,Myotis sp.,KON2,Konnevesi,565,24,62.61605,1
1,2018,Myotis sp.,LAM1,Lammi,520,100,61.05408333,1
1,2018,Myotis sp.,LAM2,Lammi,566,54,61.05408333,1
1,2018,Myotis sp.,OYO3,Oulu,172,0,65.05938167,1
1,2018,Myotis sp.,SEI2,Seili,353,184,60.23959333,1
1,2018,P. nathusii,HUS1,Huso,323,28,60.27874333,2
1,2018,P. nathusii,HUS3,Huso,334,17,60.27874333,2
1,2018,P. nathusii,KON1,Konnevesi,44,0,62.61605,1
1,2018,P. nathusii,KON2,Konnevesi,589,0,62.61605,1
1,2018,P. nathusii,LAM1,Lammi,620,0,61.05408333,1
1,2018,P. nathusii,LAM2,Lammi,620,0,61.05408333,1
1,2018,P. nathusii,OYO3,Oulu,172,0,65.05938167,1
1,2018,P. nathusii,SEI2,Seili,537,0,60.23959333,1
1,2019,E. nilssonii,HUS1,Huso,549,88,60.27874333,2
1,2019,E. nilssonii,HUS3,Huso,601,36,60.27874333,2
1,2019,E. nilssonii,HYY2,Hyytiala,604,3,61.84478167,1
1,2019,E. nilssonii,HYY3,Hyytiala,603,4,61.84478167,1
1,2019,E. nilssonii,KON1,Konnevesi,76,1,62.61605,1
1,2019,E. nilssonii,KON2,Konnevesi,74,3,62.61605,1
1,2019,E. nilssonii,LAM1,Lammi,619,3,61.05408333,1
1,2019,E. nilssonii,LAM2,Lammi,616,6,61.05408333,1
1,2019,E. nilssonii,OYO1,Oulu,522,8,65.05938167,1
1,2019,E. nilssonii,OYO3,Oulu,530,0,65.05938167,1
1,2019,E. nilssonii,SEI2,Seili,637,1,60.23959333,1
1,2019,E. nilssonii,SEI3,Seili,623,15,60.23959333,1
1,2019,E. nilssonii,TVA2,Tvarminne,638,6,59.84394167,1
1,2019,E. nilssonii,TVA3,Tvarminne,629,15,59.84394167,1
1,2019,Myotis sp.,HUS1,Huso,580,57,60.27874333,2
1,2019,Myotis sp.,HUS3,Huso,577,60,60.27874333,2
1,2019,Myotis sp.,HYY2,Hyytiala,566,41,61.84478167,1
1,2019,Myotis sp.,HYY3,Hyytiala,556,51,61.84478167,1
1,2019,Myotis sp.,KON1,Konnevesi,75,2,62.61605,1
1,2019,Myotis sp.,KON2,Konnevesi,71,6,62.61605,1
1,2019,Myotis sp.,LAM1,Lammi,569,53,61.05408333,1
1,2019,Myotis sp.,LAM2,Lammi,589,33,61.05408333,1
1,2019,Myotis sp.,OYO1,Oulu,530,0,65.05938167,1
1,2019,Myotis sp.,OYO3,Oulu,530,0,65.05938167,1
1,2019,Myotis sp.,SEI2,Seili,483,155,60.23959333,1
1,2019,Myotis sp.,SEI3,Seili,594,44,60.23959333,1
1,2019,Myotis sp.,TVA2,Tvarminne,508,136,59.84394167,1
1,2019,Myotis sp.,TVA3,Tvarminne,487,157,59.84394167,1
1,2019,P. nathusii,HUS1,Huso,539,98,60.27874333,2
1,2019,P. nathusii,HUS3,Huso,609,28,60.27874333,2
1,2019,P. nathusii,HYY2,Hyytiala,607,0,61.84478167,1
1,2019,P. nathusii,HYY3,Hyytiala,607,0,61.84478167,1
1,2019,P. nathusii,KON1,Konnevesi,77,0,62.61605,1
1,2019,P. nathusii,KON2,Konnevesi,77,0,62.61605,1
1,2019,P. nathusii,LAM1,Lammi,622,0,61.05408333,1
1,2019,P. nathusii,LAM2,Lammi,622,0,61.05408333,1
1,2019,P. nathusii,OYO1,Oulu,530,0,65.05938167,1
1,2019,P. nathusii,OYO3,Oulu,530,0,65.05938167,1
1,2019,P. nathusii,SEI2,Seili,638,0,60.23959333,1
1,2019,P. nathusii,SEI3,Seili,633,5,60.23959333,1
1,2019,P. nathusii,TVA2,Tvarminne,615,29,59.84394167,1
1,2019,P. nathusii,TVA3,Tvarminne,627,17,59.84394167,1
1,2020,E. nilssonii,HYY2,Hyytiala,595,7,61.84478167,1
1,2020,E. nilssonii,KON1,Konnevesi,353,9,62.61605,1
1,2020,E. nilssonii,KON2,Konnevesi,355,7,62.61605,1
1,2020,E. nilssonii,LAM1,Lammi,382,3,61.05408333,1
1,2020,E. nilssonii,LAM2,Lammi,374,11,61.05408333,1
1,2020,E. nilssonii,SEI2,Seili,349,1,60.23959333,1
1,2020,E. nilssonii,SEI3,Seili,320,30,60.23959333,1
1,2020,E. nilssonii,TVA2,Tvarminne,427,21,59.84394167,1
1,2020,E. nilssonii,TVA3,Tvarminne,399,49,59.84394167,1
1,2020,Myotis sp.,HYY2,Hyytiala,544,58,61.84478167,1
1,2020,Myotis sp.,KON1,Konnevesi,323,39,62.61605,1
1,2020,Myotis sp.,KON2,Konnevesi,325,37,62.61605,1
1,2020,Myotis sp.,LAM1,Lammi,338,47,61.05408333,1
1,2020,Myotis sp.,LAM2,Lammi,354,31,61.05408333,1
1,2020,Myotis sp.,SEI2,Seili,191,159,60.23959333,1
1,2020,Myotis sp.,SEI3,Seili,276,74,60.23959333,1
1,2020,Myotis sp.,TVA2,Tvarminne,281,167,59.84394167,1
1,2020,Myotis sp.,TVA3,Tvarminne,263,185,59.84394167,1
1,2020,P. nathusii,HYY2,Hyytiala,602,0,61.84478167,1
1,2020,P. nathusii,KON1,Konnevesi,362,0,62.61605,1
1,2020,P. nathusii,KON2,Konnevesi,362,0,62.61605,1
1,2020,P. nathusii,LAM1,Lammi,385,0,61.05408333,1
1,2020,P. nathusii,LAM2,Lammi,385,0,61.05408333,1
1,2020,P. nathusii,SEI2,Seili,350,0,60.23959333,1
1,2020,P. nathusii,SEI3,Seili,329,21,60.23959333,1
1,2020,P. nathusii,TVA2,Tvarminne,439,9,59.84394167,1
1,2020,P. nathusii,TVA3,Tvarminne,439,9,59.84394167,1
1,2021,E. nilssonii,HYY2,Hyytiala,587,15,61.84478167,1
1,2021,E. nilssonii,HYY3,Hyytiala,536,66,61.84478167,1
1,2021,E. nilssonii,KON2,Konnevesi,364,0,62.61605,1
1,2021,Myotis sp.,HYY2,Hyytiala,535,67,61.84478167,1
1,2021,Myotis sp.,HYY3,Hyytiala,502,100,61.84478167,1
1,2021,Myotis sp.,KON2,Konnevesi,364,0,62.61605,1
1,2021,P. nathusii,HYY2,Hyytiala,602,0,61.84478167,1
1,2021,P. nathusii,HYY3,Hyytiala,602,0,61.84478167,1
1,2021,P. nathusii,KON2,Konnevesi,364,0,62.61605,1
2,2015,E. nilssonii,HUS1,Huso,347,195,60.27874333,1
2,2015,E. nilssonii,HUS2,Huso,398,144,60.27874333,1
2,2015,E. nilssonii,HUS3,Huso,361,181,60.27874333,1
2,2015,E. nilssonii,HYY1,Hyytiala,470,34,61.84478167,1
2,2015,E. nilssonii,HYY2,Hyytiala,503,1,61.84478167,1
2,2015,E. nilssonii,HYY3,Hyytiala,486,18,61.84478167,1
2,2015,E. nilssonii,KON2,Konnevesi,478,3,62.61605,1
2,2015,E. nilssonii,KON3,Konnevesi,461,20,62.61605,1
2,2015,E. nilssonii,LAM1,Lammi,524,0,61.05408333,1
2,2015,E. nilssonii,LAM2,Lammi,505,19,61.05408333,1
2,2015,E. nilssonii,LAM3,Lammi,489,35,61.05408333,1
2,2015,E. nilssonii,OUL1,Oulanka,324,0,66.37026833,1
2,2015,E. nilssonii,OUL2,Oulanka,324,0,66.37026833,1
2,2015,E. nilssonii,OUL3,Oulanka,324,0,66.37026833,1
2,2015,E. nilssonii,OYO1,Oulu,71,2,65.05938167,1
2,2015,E. nilssonii,TVA1,Tvarminne,529,24,59.84394167,1
2,2015,E. nilssonii,TVA2,Tvarminne,471,82,59.84394167,1
2,2015,E. nilssonii,TVA3,Tvarminne,503,50,59.84394167,1
2,2015,Myotis sp.,HUS1,Huso,450,92,60.27874333,1
2,2015,Myotis sp.,HUS2,Huso,458,84,60.27874333,1
2,2015,Myotis sp.,HUS3,Huso,458,84,60.27874333,1
2,2015,Myotis sp.,HYY1,Hyytiala,467,37,61.84478167,1
2,2015,Myotis sp.,HYY2,Hyytiala,414,90,61.84478167,1
2,2015,Myotis sp.,HYY3,Hyytiala,437,67,61.84478167,1
2,2015,Myotis sp.,KON2,Konnevesi,460,21,62.61605,1
2,2015,Myotis sp.,KON3,Konnevesi,431,50,62.61605,1
2,2015,Myotis sp.,LAM1,Lammi,382,142,61.05408333,1
2,2015,Myotis sp.,LAM2,Lammi,478,46,61.05408333,1
2,2015,Myotis sp.,LAM3,Lammi,372,152,61.05408333,1
2,2015,Myotis sp.,OUL1,Oulanka,324,0,66.37026833,1
2,2015,Myotis sp.,OUL2,Oulanka,324,0,66.37026833,1
2,2015,Myotis sp.,OUL3,Oulanka,324,0,66.37026833,1
2,2015,Myotis sp.,OYO1,Oulu,73,0,65.05938167,1
2,2015,Myotis sp.,TVA1,Tvarminne,230,323,59.84394167,1
2,2015,Myotis sp.,TVA2,Tvarminne,323,230,59.84394167,1
2,2015,Myotis sp.,TVA3,Tvarminne,357,196,59.84394167,1
2,2015,P. nathusii,HUS1,Huso,399,143,60.27874333,1
2,2015,P. nathusii,HUS2,Huso,526,16,60.27874333,1
2,2015,P. nathusii,HUS3,Huso,510,32,60.27874333,1
2,2015,P. nathusii,HYY1,Hyytiala,504,0,61.84478167,1
2,2015,P. nathusii,HYY2,Hyytiala,504,0,61.84478167,1
2,2015,P. nathusii,HYY3,Hyytiala,504,0,61.84478167,1
2,2015,P. nathusii,KON2,Konnevesi,481,0,62.61605,1
2,2015,P. nathusii,KON3,Konnevesi,481,0,62.61605,1
2,2015,P. nathusii,LAM1,Lammi,524,0,61.05408333,1
2,2015,P. nathusii,LAM2,Lammi,524,0,61.05408333,1
2,2015,P. nathusii,LAM3,Lammi,524,0,61.05408333,1
2,2015,P. nathusii,OUL1,Oulanka,324,0,66.37026833,1
2,2015,P. nathusii,OUL2,Oulanka,324,0,66.37026833,1
2,2015,P. nathusii,OUL3,Oulanka,324,0,66.37026833,1
2,2015,P. nathusii,OYO1,Oulu,73,0,65.05938167,1
2,2015,P. nathusii,TVA1,Tvarminne,533,20,59.84394167,1
2,2015,P. nathusii,TVA2,Tvarminne,521,32,59.84394167,1
2,2015,P. nathusii,TVA3,Tvarminne,534,19,59.84394167,1
2,2016,E. nilssonii,HUS1,Huso,315,223,60.27874333,1
2,2016,E. nilssonii,HUS2,Huso,412,126,60.27874333,1
2,2016,E. nilssonii,HUS3,Huso,315,223,60.27874333,1
2,2016,E. nilssonii,HYY1,Hyytiala,368,53,61.84478167,1
2,2016,E. nilssonii,HYY2,Hyytiala,494,3,61.84478167,1
2,2016,E. nilssonii,HYY3,Hyytiala,464,33,61.84478167,1
2,2016,E. nilssonii,KON2,Konnevesi,464,11,62.61605,1
2,2016,E. nilssonii,KON3,Konnevesi,405,70,62.61605,1
2,2016,E. nilssonii,LAM1,Lammi,139,0,61.05408333,1
2,2016,E. nilssonii,LAM2,Lammi,177,2,61.05408333,1
2,2016,E. nilssonii,LAM3,Lammi,494,24,61.05408333,1
2,2016,E. nilssonii,OUL1,Oulanka,292,23,66.37026833,1
2,2016,E. nilssonii,OUL2,Oulanka,312,3,66.37026833,1
2,2016,E. nilssonii,OUL3,Oulanka,304,11,66.37026833,1
2,2016,E. nilssonii,OYO1,Oulu,383,1,65.05938167,1
2,2016,E. nilssonii,SEI1,Seili,306,70,60.23959333,1
2,2016,E. nilssonii,SEI2,Seili,416,0,60.23959333,1
2,2016,E. nilssonii,SEI3,Seili,197,139,60.23959333,1
2,2016,E. nilssonii,TVA1,Tvarminne,287,57,59.84394167,1
2,2016,E. nilssonii,TVA2,Tvarminne,503,47,59.84394167,1
2,2016,E. nilssonii,TVA3,Tvarminne,515,35,59.84394167,1
2,2016,Myotis sp.,HUS1,Huso,485,53,60.27874333,1
2,2016,Myotis sp.,HUS2,Huso,421,117,60.27874333,1
2,2016,Myotis sp.,HUS3,Huso,507,31,60.27874333,1
2,2016,Myotis sp.,HYY1,Hyytiala,377,44,61.84478167,1
2,2016,Myotis sp.,HYY2,Hyytiala,448,49,61.84478167,1
2,2016,Myotis sp.,HYY3,Hyytiala,475,22,61.84478167,1
2,2016,Myotis sp.,KON2,Konnevesi,450,25,62.61605,1
2,2016,Myotis sp.,KON3,Konnevesi,434,41,62.61605,1
2,2016,Myotis sp.,LAM1,Lammi,123,16,61.05408333,1
2,2016,Myotis sp.,LAM2,Lammi,174,5,61.05408333,1
2,2016,Myotis sp.,LAM3,Lammi,392,126,61.05408333,1
2,2016,Myotis sp.,OUL1,Oulanka,315,0,66.37026833,1
2,2016,Myotis sp.,OUL2,Oulanka,315,0,66.37026833,1
2,2016,Myotis sp.,OUL3,Oulanka,315,0,66.37026833,1
2,2016,Myotis sp.,OYO1,Oulu,384,0,65.05938167,1
2,2016,Myotis sp.,SEI1,Seili,357,19,60.23959333,1
2,2016,Myotis sp.,SEI2,Seili,393,23,60.23959333,1
2,2016,Myotis sp.,SEI3,Seili,325,11,60.23959333,1
2,2016,Myotis sp.,TVA1,Tvarminne,151,193,59.84394167,1
2,2016,Myotis sp.,TVA2,Tvarminne,378,172,59.84394167,1
2,2016,Myotis sp.,TVA3,Tvarminne,508,42,59.84394167,1
2,2016,P. nathusii,HUS1,Huso,529,9,60.27874333,1
2,2016,P. nathusii,HUS2,Huso,535,3,60.27874333,1
2,2016,P. nathusii,HUS3,Huso,533,5,60.27874333,1
2,2016,P. nathusii,HYY1,Hyytiala,421,0,61.84478167,1
2,2016,P. nathusii,HYY2,Hyytiala,497,0,61.84478167,1
2,2016,P. nathusii,HYY3,Hyytiala,497,0,61.84478167,1
2,2016,P. nathusii,KON2,Konnevesi,475,0,62.61605,1
2,2016,P. nathusii,KON3,Konnevesi,475,0,62.61605,1
2,2016,P. nathusii,LAM1,Lammi,139,0,61.05408333,1
2,2016,P. nathusii,LAM2,Lammi,179,0,61.05408333,1
2,2016,P. nathusii,LAM3,Lammi,518,0,61.05408333,1
2,2016,P. nathusii,OUL1,Oulanka,315,0,66.37026833,1
2,2016,P. nathusii,OUL2,Oulanka,315,0,66.37026833,1
2,2016,P. nathusii,OUL3,Oulanka,315,0,66.37026833,1
2,2016,P. nathusii,OYO1,Oulu,384,0,65.05938167,1
2,2016,P. nathusii,SEI1,Seili,374,2,60.23959333,1
2,2016,P. nathusii,SEI2,Seili,416,0,60.23959333,1
2,2016,P. nathusii,SEI3,Seili,335,1,60.23959333,1
2,2016,P. nathusii,TVA1,Tvarminne,328,16,59.84394167,1
2,2016,P. nathusii,TVA2,Tvarminne,529,21,59.84394167,1
2,2016,P. nathusii,TVA3,Tvarminne,544,6,59.84394167,1
2,2018,E. nilssonii,HUS1,Huso,208,334,60.27874333,2
2,2018,E. nilssonii,HUS3,Huso,330,212,60.27874333,2
2,2018,E. nilssonii,HYY2,Hyytiala,427,36,61.84478167,1
2,2018,E. nilssonii,HYY3,Hyytiala,454,9,61.84478167,1
2,2018,E. nilssonii,KON2,Konnevesi,471,8,62.61605,1
2,2018,E. nilssonii,LAM1,Lammi,470,53,61.05408333,1
2,2018,E. nilssonii,LAM2,Lammi,487,36,61.05408333,1
2,2018,E. nilssonii,OUL1,Oulanka,319,3,66.37026833,1
2,2018,E. nilssonii,OUL2,Oulanka,320,2,66.37026833,1
2,2018,E. nilssonii,OYO3,Oulu,387,1,65.05938167,1
2,2018,E. nilssonii,SEI2,Seili,542,0,60.23959333,1
2,2018,Myotis sp.,HUS1,Huso,420,122,60.27874333,2
2,2018,Myotis sp.,HUS3,Huso,364,178,60.27874333,2
2,2018,Myotis sp.,HYY2,Hyytiala,410,53,61.84478167,1
2,2018,Myotis sp.,HYY3,Hyytiala,421,42,61.84478167,1
2,2018,Myotis sp.,KON2,Konnevesi,469,10,62.61605,1
2,2018,Myotis sp.,LAM1,Lammi,330,193,61.05408333,1
2,2018,Myotis sp.,LAM2,Lammi,489,34,61.05408333,1
2,2018,Myotis sp.,OUL1,Oulanka,322,0,66.37026833,1
2,2018,Myotis sp.,OUL2,Oulanka,322,0,66.37026833,1
2,2018,Myotis sp.,OYO3,Oulu,388,0,65.05938167,1
2,2018,Myotis sp.,SEI2,Seili,331,211,60.23959333,1
2,2018,P. nathusii,HUS1,Huso,393,149,60.27874333,2
2,2018,P. nathusii,HUS3,Huso,488,54,60.27874333,2
2,2018,P. nathusii,HYY2,Hyytiala,463,0,61.84478167,1
2,2018,P. nathusii,HYY3,Hyytiala,463,0,61.84478167,1
2,2018,P. nathusii,KON2,Konnevesi,479,0,62.61605,1
2,2018,P. nathusii,LAM1,Lammi,523,0,61.05408333,1
2,2018,P. nathusii,LAM2,Lammi,523,0,61.05408333,1
2,2018,P. nathusii,OUL1,Oulanka,322,0,66.37026833,1
2,2018,P. nathusii,OUL2,Oulanka,322,0,66.37026833,1
2,2018,P. nathusii,OYO3,Oulu,388,0,65.05938167,1
2,2018,P. nathusii,SEI2,Seili,542,0,60.23959333,1
2,2019,E. nilssonii,HUS1,Huso,232,311,60.27874333,2
2,2019,E. nilssonii,HUS3,Huso,299,244,60.27874333,2
2,2019,E. nilssonii,HYY2,Hyytiala,484,20,61.84478167,1
2,2019,E. nilssonii,HYY3,Hyytiala,413,91,61.84478167,1
2,2019,E. nilssonii,KON1,Konnevesi,431,50,62.61605,1
2,2019,E. nilssonii,KON2,Konnevesi,399,82,62.61605,1
2,2019,E. nilssonii,LAM1,Lammi,449,75,61.05408333,1
2,2019,E. nilssonii,LAM2,Lammi,478,46,61.05408333,1
2,2019,E. nilssonii,OUL1,Oulanka,240,1,66.37026833,1
2,2019,E. nilssonii,OUL2,Oulanka,241,0,66.37026833,1
2,2019,E. nilssonii,OYO1,Oulu,374,19,65.05938167,1
2,2019,E. nilssonii,OYO3,Oulu,391,2,65.05938167,1
2,2019,E. nilssonii,SEI2,Seili,308,14,60.23959333,1
2,2019,E. nilssonii,SEI3,Seili,379,166,60.23959333,1
2,2019,E. nilssonii,TVA2,Tvarminne,481,72,59.84394167,1
2,2019,E. nilssonii,TVA3,Tvarminne,484,69,59.84394167,1
2,2019,Myotis sp.,HUS1,Huso,435,108,60.27874333,2
2,2019,Myotis sp.,HUS3,Huso,438,105,60.27874333,2
2,2019,Myotis sp.,HYY2,Hyytiala,445,59,61.84478167,1
2,2019,Myotis sp.,HYY3,Hyytiala,355,149,61.84478167,1
2,2019,Myotis sp.,KON1,Konnevesi,446,35,62.61605,1
2,2019,Myotis sp.,KON2,Konnevesi,377,104,62.61605,1
2,2019,Myotis sp.,LAM1,Lammi,369,155,61.05408333,1
2,2019,Myotis sp.,LAM2,Lammi,471,53,61.05408333,1
2,2019,Myotis sp.,OUL1,Oulanka,241,0,66.37026833,1
2,2019,Myotis sp.,OUL2,Oulanka,241,0,66.37026833,1
2,2019,Myotis sp.,OYO1,Oulu,393,0,65.05938167,1
2,2019,Myotis sp.,OYO3,Oulu,393,0,65.05938167,1
2,2019,Myotis sp.,SEI2,Seili,209,113,60.23959333,1
2,2019,Myotis sp.,SEI3,Seili,425,120,60.23959333,1
2,2019,Myotis sp.,TVA2,Tvarminne,263,290,59.84394167,1
2,2019,Myotis sp.,TVA3,Tvarminne,331,222,59.84394167,1
2,2019,P. nathusii,HUS1,Huso,441,102,60.27874333,2
2,2019,P. nathusii,HUS3,Huso,464,79,60.27874333,2
